City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
51,Cherskiy,RU,2021-06-25 15:23:22,68.75,161.3,Clouds,overcast clouds,46.8,64,99,6.98,0,0
52,Limbang,MY,2021-06-25 15:13:36,4.75,115.0,Clouds,overcast clouds,80.71,96,100,2.62,0,0
53,Garowe,SO,2021-06-25 15:23:23,8.4054,48.4845,Clouds,overcast clouds,89.38,31,100,20.74,0,0
54,Itupiranga,BR,2021-06-25 15:23:23,-5.1347,-49.3267,Clouds,few clouds,86.32,49,12,3.87,0,0
55,Port Lavaca,US,2021-06-25 15:23:23,28.615,-96.6261,Clouds,scattered clouds,90.28,71,40,13.8,0,0
56,Codrington,AU,2021-06-25 15:23:24,-38.2667,141.9667,Clouds,overcast clouds,50.32,78,99,10.58,0,0
57,Tiksi,RU,2021-06-25 15:23:24,71.6872,128.8694,Clouds,broken clouds,54.07,58,67,4.79,0,0
58,Bac Lieu,VN,2021-06-25 15:23:24,9.285,105.7244,Clouds,overcast clouds,82.44,76,96,8.5,0,0
59,Sakakah,SA,2021-06-25 15:23:25,29.9697,40.2064,Clear,clear sky,107.17,5,0,9.89,0,0
60,Pemangkat,ID,2021-06-25 15:23:25,1.1667,108.9667,Clouds,overcast clouds,81.09,78,100,4.7,0,0
61,Bengkulu,ID,2021-06-25 15:23:25,-3.8004,102.2655,Clouds,scattered clouds,78.06,87,26,4.81,0,0
62,Makakilo City,US,2021-06-25 15:23:26,21.3469,-158.0858,Clear,clear sky,71.92,84,1,3.44,0,0
63,Chuy,UY,2021-06-25 15:23:26,-33.6971,-53.4616,Clear,clear sky,57.45,63,9,8.25,0,0
64,Hermanus,ZA,2021-06-25 15:23:26,-34.4187,19.2345,Rain,light rain,57.79,80,55,31.85,0,0
65,Anadyr,RU,2021-06-25 15:23:27,64.75,177.4833,Clear,clear sky,50.5,57,0,4.0,0,0
66,Waddan,LY,2021-06-25 15:23:27,29.1614,16.139,Clear,clear sky,105.89,8,0,11.56,0,0
67,Saint George,US,2021-06-25 15:20:08,37.1041,-113.5841,Clear,clear sky,83.43,30,2,1.99,0,0
68,Saldanha,ZA,2021-06-25 15:23:28,-33.0117,17.9442,Rain,light rain,60.85,75,3,26.28,0,0
69,Wanning,CN,2021-06-25 15:14:00,18.8003,110.3967,Clouds,overcast clouds,81.93,91,98,10.11,0,0
70,Dzhebariki-Khaya,RU,2021-06-25 15:23:28,62.2167,135.8,Clouds,broken clouds,60.03,74,63,6.35,0,0
71,Camapua,BR,2021-06-25 15:23:28,-19.5314,-54.0439,Clouds,scattered clouds,88.9,26,48,7.2,0,0
72,Hobart,AU,2021-06-25 15:18:53,-42.8794,147.3294,Clouds,overcast clouds,46.26,96,90,5.75,0,0
73,Port Elizabeth,ZA,2021-06-25 15:23:29,-33.918,25.5701,Clear,clear sky,69.1,48,0,2.3,0,0
74,Okhotsk,RU,2021-06-25 15:14:48,59.3833,143.3,Clouds,scattered clouds,51.71,80,43,3.69,0,0
75,Dingle,PH,2021-06-25 15:23:29,10.9995,122.6711,Clouds,overcast clouds,76.6,91,99,2.1,0,0
76,Nikolskoye,RU,2021-06-25 15:23:30,59.7035,30.7861,Clouds,few clouds,82.4,50,17,5.1,0,0
77,Amealco,MX,2021-06-25 15:23:30,20.1833,-100.15,Clouds,few clouds,55.47,74,11,5.17,0,0
78,Turukhansk,RU,2021-06-25 15:23:30,65.8167,87.9833,Rain,light rain,53.01,49,100,18.79,0,0
79,Tecoanapa,MX,2021-06-25 15:13:57,16.5167,-98.75,Clouds,overcast clouds,77.72,86,100,5.91,0,0
80,Bereda,ES,2021-06-25 15:23:31,43.2686,-7.5406,Clear,clear sky,76.41,71,9,6.55,0,0
81,Hisua,IN,2021-06-25 15:23:31,24.8333,85.4167,Clouds,overcast clouds,78.98,63,100,5.93,0,0
82,Georgetown,MY,2021-06-25 15:23:31,5.4112,100.3354,Rain,moderate rain,82.35,85,20,1.01,0,0
83,Sorong,ID,2021-06-25 15:21:12,-0.8833,131.25,Rain,light rain,81.16,78,100,5.21,0,0
84,Raudeberg,NO,2021-06-25 15:13:36,61.9875,5.1352,Clouds,overcast clouds,65.07,86,98,26.93,0,0
85,Puerto Ayacucho,VE,2021-06-25 15:23:32,5.6639,-67.6236,Clouds,overcast clouds,78.28,79,96,4.0,0,0
86,Bay Roberts,CA,2021-06-25 15:23:32,47.5999,-53.2648,Clear,clear sky,77.65,45,0,7.31,0,0
87,North Bend,US,2021-06-25 15:14:27,43.4065,-124.2243,Clouds,overcast clouds,58.15,93,90,4.61,0,0
88,Jamestown,US,2021-06-25 15:23:33,42.097,-79.2353,Clear,clear sky,77.29,60,1,5.99,0,0
